cdr type,cdr datetime,call duration,last calling cellid,user_id
MtCallRecord,20180713112535,,,5219973832051473565
MtCallRecord,20180713112552,,,1092056485200110892
MtSMSRecord,20180713112603,,,6766153947758062725
MoCallRecord,20180713112552,,35169.0,1092056485200110892
MoCallRecord,20180713112451,,35744.0,1890750749064516924
MtCallRecord,20180713112451,,,1890750749064516924
MtSMSRecord,20180713112604,,,7566424924061690786
MtSMSRecord,20180713112603,,,6766153947758062725
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,6766153947758062725
MoCallRecord,20180713112427,,34932.0,2189906088704226249
MtCallRecord,20180713112427,,,2189906088704226249
MoCallRecord,20180713112524,,14263.0,4236325883955330248
MtCallRecord,20180713112524,,,4236325883955330248
MtSMSRecord,20180713112603,,,6530771536521595267
MoCallRecord,20180713112557,,14141.0,8609098075789757216
MtCallRecord,20180713112557,,,8609098075789757216
MoCallRecord,20180713112545,,14171.0,3927570834708003291
MtCallRecord,20180713112545,,,3927570834708003291
MoCallRecord,20180713112540,,12161.0,917997242334828953
MtCallRecord,20180713112540,,,917997242334828953
MoCallRecord,20180713112549,,10126.0,7847976753377250131
MtSMSRecord,20180713112604,,,3384066821637594455
MtCallRecord,20180713112549,,,7847976753377250131
MtCallRecord,20180713112536,,,388629292880900271
MoCallRecord,20180713112536,,22241.0,388629292880900271
MoCallRecord,20180713112531,,12203.0,1808653947658787807
OutGatewayRecord,20180713112531,,12203.0,1808653947658787807
MtSMSRecord,20180713112603,,,6766153947758062725
MoCallRecord,20180713112600,,14373.0,6632479445196422562
MtSMSRecord,20180713112603,,,6213509167247245458
MoCallRecord,20180713112603,,14071.0,7399343945639200112
MtCallRecord,20180713112603,,,7399343945639200112
MoCallRecord,20180713112354,,12081.0,3861186055110896867
OutGatewayRecord,20180713112354,,12081.0,3861186055110896867
MoSMSRecord,20180713112603,,14198.0,9122062294688624427
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,6820442458578500418
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112508,,14036.0,5364496678852577205
MtCallRecord,20180713112508,,,5364496678852577205
MoCallRecord,20180713112557,,20522.0,822214528850591917
MtCallRecord,20180713112557,,,822214528850591917
MtSMSRecord,20180713112603,,,2360232289363115828
MoCallRecord,20180713112543,,34051.0,534291978480147006
MtCallRecord,20180713112543,,,534291978480147006
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112533,,12101.0,1925877577952760018
OutGatewayRecord,20180713112533,,12101.0,1925877577952760018
MtSMSRecord,20180713112604,,,6766153947758062725
MoCallRecord,20180713112527,,22173.0,7499548825408674579
MtCallRecord,20180713112527,,,7499548825408674579
MoCallRecord,20180713112532,,40411.0,3324005940545982422
MtCallRecord,20180713112532,,,3324005940545982422
